CountryCode,PostCode,Lat,Lon
NO,2383,60.88759316699998,10.925723564999998
NO,0262,59.916759458,10.71158088300001
NO,9062,69.44862111100002,20.00585608
NO,0462,59.938832812999976,10.748690122000028
NO,6638,62.864131698999984,7.8788298759999975
NO,8387,68.06469692899998,13.091200845000003
NO,2743,60.19586232900002,10.674946067999997
NO,5144,60.352949045,5.295794275999981
NO,0882,59.963987121,10.76765254899999
NO,5176,60.37230709200003,5.222619365000014
NO,7053,63.43278799299998,10.504832098999998
NO,0592,59.948498391999976,10.827891813999997
NO,0684,59.902099426999996,10.848764072999984
NO,5137,60.494063693999976,5.280825207000021
NO,4521,58.03511089900002,7.117956791999973
NO,0160,59.910932152999976,10.733073339999976
NO,7040,63.450963323999986,10.44763276399999
NO,0767,59.953958666000005,10.651751069
NO,9512,69.948522416,23.203329586999985
NO,2750,60.362772588999974,10.679113221000023
NO,3618,59.56454085399997,9.671401170000024
NO,5536,59.394322461,5.326611120999985
NO,8075,67.28004193499999,14.44914703400002
NO,1065,59.93758683300001,10.923927592999974
NO,4830,58.59850307400001,8.372784189000015
NO,8324,68.32309197799998,15.08876359200002
NO,0166,59.919001407999986,10.734887259999994
NO,4737,58.550368021,7.665287365999973
NO,3115,59.263307164000025,10.40279787999998
NO,0198,59.68835876000003,11.159845435000022
NO,0668,59.92986382999999,10.846410600000013
NO,2943,61.13817186900002,9.280926984000018
NO,1718,59.27053212499999,11.046335333999991
NO,5174,60.342796108000016,5.203287048999982
NO,5470,59.98284651199998,6.097515342999998
NO,7165,63.79449448399998,9.677661166999997
NO,5015,60.38807970200003,5.332091656999978
NO,1725,59.279602263000015,11.093720147999989
NO,5221,60.31935883699998,5.347562734000007
NO,3426,59.76849311900003,10.302095327000018
NO,9103,69.80138175299999,18.865172836
NO,8072,67.27784078100001,14.483782002999988
NO,2460,61.39121573900002,11.680229408999992
NO,5251,60.314108670999985,5.2888424610000015
NO,1786,59.132415627,11.410669257999984
NO,4720,58.392255885,7.727626124999972
NO,1540,59.58161692499999,10.745045608999988
NO,5943,60.779677893999974,4.909778759000005
NO,3880,59.45908710200001,7.761639398
NO,0465,59.938046477,10.758663216999992
NO,5780,60.34146433900003,6.948907100999975
NO,3870,59.16136150699998,8.055248537000011
NO,9008,69.65119153500001,18.957088929999998
NO,4028,58.990971839,5.6797529300000065
NO,7503,63.473906021999994,10.911165412999992
NO,3588,60.396531907999986,8.319366054
NO,4621,58.126968148,7.9626289240000006
NO,3741,59.225250277999976,9.559312337999984
NO,3027,59.75274204599998,10.120190477999984
NO,9106,69.56435580099998,18.42222854099998
NO,4550,58.13883315800001,6.828081048000001
NO,5121,60.464962549999996,5.294426797000028
NO,5232,60.326183773000025,5.336594069
NO,0955,59.95282966899998,10.860979712000017
NO,3271,59.100959476000014,10.018990992999989
NO,7203,63.194236819000025,9.138389404999998
NO,6507,63.10410641599998,7.732565760999989
NO,8004,67.266606878,14.365898199000014
NO,4237,59.500475531999996,6.6829747080000175
NO,4611,58.14447571300002,7.991131946999985
NO,5984,60.891492417999984,5.650095539999995
NO,5451,59.83730128899998,5.838228008999977
NO,1659,59.24898548099998,11.08409278800002
NO,4616,58.15303281400003,7.971505185000012
NO,3037,59.69747396600002,10.293069950000017
NO,1914,59.73337151599998,11.046383370000001
NO,7178,64.06082946999999,9.981521895000014
NO,1083,59.94969373499998,10.890733829999988
NO,3614,59.69274075599998,9.528403974000014
NO,3744,59.20870402999998,9.554858054000022
NO,5457,59.769417825000005,5.800184668999975
NO,9006,69.63458655099998,18.921512071999985
NO,8003,67.145925997,14.732971593999991
NO,5106,60.44162144799998,5.3428512589999855
NO,5036,60.415035364000005,5.319785368999987
NO,2635,61.36716482999998,10.464953499999979
NO,2861,60.841376766999986,10.303963977000024
NO,0586,59.937768302999984,10.797128310000005
NO,1185,59.883296899000015,10.806244816999993
NO,1458,59.786241792,10.626237994999997
NO,3160,59.23173485199999,10.256695439999987
NO,8515,68.43437498399999,17.47668190600001
NO,6430,62.90981955400002,6.989636656000016
NO,6462,62.82523433900002,8.088118184999985
NO,1470,59.940810950000014,10.953796226000009
NO,3023,59.751225076000026,10.161474714999997
NO,2677,61.691966604000015,9.403649169000005
NO,5600,60.377081911999994,6.045864277000021
NO,2216,60.24225978599998,12.093197256999986
NO,4008,58.967530496999984,5.72485472599999
NO,6415,62.74033131700003,7.180897092999999
NO,3610,59.64824082000001,9.667634776
NO,4480,58.40728538600001,6.991209534999996
NO,0493,59.959825842999976,10.775807849999978
NO,4372,58.421920102,6.100828547999981
NO,1768,59.113051626000015,11.391882905999978
NO,4362,58.580114443000014,5.727125910999973
NO,6512,63.122738201999994,7.758147511000004
NO,5687,59.944289432000005,5.544502670999975
NO,3517,60.16953650300002,10.221356673000003
NO,5006,60.385617396999976,5.322203086999991
NO,2110,60.31797067100001,11.77460772500001
NO,3038,59.71335633000001,10.253613539000014
NO,7509,63.49053648300003,10.991136114000028
NO,6520,63.075401037000006,7.764042650000022
NO,3174,59.39468130300003,10.244529203000013
NO,3853,59.298774141000024,8.460503838000022
NO,9064,69.70639730699997,19.978694930000017
NO,8506,68.42710113599998,17.43490028399998
NO,7420,63.43050003100001,10.395099640000012
NO,2972,61.16090011599999,8.787500382000019
NO,5358,60.323101044,5.026599884000007
NO,7508,63.467998505000025,10.917799949000027
NO,7463,63.43050003100001,10.395099640000012
NO,1803,59.59040069600002,11.174799919000009
NO,7221,63.28559875399998,10.278100014000017
NO,5855,60.398399353,5.325699805999989
NO,3997,59.15689849900002,9.662799834999987
NO,2715,60.301898956,10.571000099000003
NO,1379,59.86009979200003,10.493900299000018
NO,5206,60.1875,5.468999863000022
NO,5511,59.41199874900002,5.268599987000016
NO,2091,60.428901672999984,11.022500037999976
NO,3601,59.65090179499998,9.665499687000022
NO,2959,61.00999832100001,8.952500342999997
NO,1561,59.328498841,10.686900138999988
NO,4124,59.072399140000016,5.956900119000011
NO,1005,59.845699309999986,10.782299995000017
NO,2305,60.805900572999974,11.048199653999973
NO,9149,69.485801697,20.857400894000023
NO,3604,59.65090179499998,9.665499687000022
NO,6151,62.17810058600003,6.234099865000019
NO,8256,66.88529968199998,15.414600371999995
NO,2017,60.025299071999996,11.106399537000016
NO,3852,59.31370162899998,8.451700211000002
NO,7864,64.46749877899998,11.75640010799998
NO,4174,59.064673105,6.23510412600001
NO,7729,64.01490020799997,11.495400428999972
NO,7407,63.43050003100001,10.395099640000012
NO,4901,58.772231893000026,9.259330858999988
NO,5402,59.77249908499999,5.4966998099999955
NO,9287,69.63420105,18.922500610999975
NO,9448,68.49330139199998,16.515199660999997
NO,6808,61.45449829099999,5.839499950000004
NO,8503,68.42710113599998,17.43490028399998
NO,1833,59.59040069600002,11.174799919000009
NO,1001,59.845699309999986,10.782299995000017
NO,4597,58.48860168499999,7.206799983999986
NO,6988,61.349700928000004,5.076099872999976
NO,8505,68.42710113599998,17.43490028399998
NO,6483,62.861698149999995,6.544099807999999
NO,1373,59.83369827299998,10.412199973999975
NO,9291,69.63420105,18.922500610999975
NO,8287,67.93430328300002,15.088800429999992
NO,9712,70.04769897400001,24.996999741000025
NO,5820,60.398399353,5.325699805999989
NO,6404,62.73709869300001,7.0068001750000235
NO,3546,60.0616,10.309500000000014
NO,3786,59.19499999999999,9.538099999999986
NO,6121,62.1191,6.025800000000004
NO,8192,66.5156,13.678600000000017
NO,0574,59.933373630999995,10.781252995999978
NO,3727,59.209836575,9.564032026999996
NO,3111,59.27558858100002,10.407659122999974
NO,0665,59.921023574,10.815882815000009
NO,5529,59.401741862999984,5.285064300999977
NO,3277,59.32632286299997,9.863935572000003
NO,3185,59.379777623999985,10.404010964999998
NO,1771,59.12115070700003,11.371648585999992
NO,1254,59.83711783000001,10.789036827000018
NO,6064,62.294758419999994,5.903213411000024
NO,5994,60.75023058900001,5.59713872399999
NO,1812,59.59290571700001,11.193064176000007
NO,0370,59.93705073899997,10.702307057999974
NO,7010,63.43678475500002,10.399301249000018
NO,3540,60.551423063000016,9.07261140700001
NO,1671,59.206536642,10.925795073000018
NO,7031,63.40676996399998,10.398891944000013
NO,7170,63.975208984000005,10.431913884999972
NO,0651,59.91312224000001,10.769573141000023
NO,3811,59.427068141999996,9.139791043000002
NO,5098,60.346482417999994,5.371985243999973
NO,6515,63.06361370600001,7.8046871899999815
NO,5350,60.348813673999985,5.146499708000022
NO,0979,59.95019074099997,10.920617161999985
NO,1512,59.44122576500001,10.626194481000027
NO,8160,66.74256389300001,14.125120548999973
NO,7519,63.37856736700002,11.063575974000003
NO,7097,63.36727592,10.335276589999978
NO,0775,59.948142863999976,10.691066675999991
NO,4200,59.716058007000015,6.487394058000007
NO,1734,59.29859539099999,11.15602198900001
NO,9475,68.712448639,16.18869078900002
NO,5021,60.374376187999985,5.3581957079999825
NO,6884,61.34869700899998,7.926270778000003
NO,3414,59.75833602,10.262774175000004
NO,0960,59.96719592300002,10.876056154000025
NO,0963,59.97429294599999,10.88192804099998
NO,2004,59.950563081999974,11.062981057000002
NO,5165,60.389075537999986,5.256975673999989
NO,5097,60.358039322000025,5.376873697000008
NO,1678,59.20171884400003,10.91154097499998
NO,1081,59.937543835999975,10.871925647000012
NO,1515,59.43199144699997,10.642633219000004
NO,2340,60.85312903099998,11.392374385999972
NO,5718,60.72448537499997,7.096800547999976
NO,2320,60.85166780399999,11.039987811000003
NO,9740,70.497369032,27.180707540000014
NO,8900,65.47049660900001,12.213543102000017
NO,1823,59.62582537899999,11.029672462000008
NO,8373,68.08351399999998,13.52446691900002
NO,8657,65.83845433300002,13.215369241000019
NO,7650,63.795756358999995,11.479450615000019
NO,8011,67.30014012499998,14.446551827999997
NO,1673,59.19386359399999,10.938118992
NO,3126,59.26519725200001,10.410123188
NO,5089,60.35875202699998,5.363106832000028
NO,8802,66.000712539,12.560892459000002
NO,3262,59.05174256599997,10.060042650000014
NO,5007,60.38686685699997,5.323817964
NO,3802,59.42096333699999,9.066814610999984
NO,3143,59.17747350600001,10.38677966900002
NO,3159,59.229511941,10.346351524
NO,6655,62.903798655,8.998964856999976
NO,7290,63.033420084,10.282317076000027
NO,5094,60.35327113699998,5.3661804139999845
NO,5145,60.35675669,5.2780727100000036
NO,6429,62.76267579,7.176612568999985
NO,3256,59.05835788899998,10.020824381000011
NO,4993,58.83427002899998,9.082008406
NO,4532,58.17060646800002,7.614549521000015
NO,3222,59.11331731600001,10.237547536000022
NO,2360,60.91198438700002,10.801173482000024
NO,1715,59.276186849,11.065619937999998
NO,0852,59.941967352999995,10.734226099000011
NO,3511,60.147274734999996,10.270544110999992
NO,7081,63.36989352799998,10.400510282000027
NO,0768,59.94829278899999,10.65374356000001
NO,4110,58.94278241500001,6.303769158000023
NO,1870,59.49435275600001,11.648097983000014
NO,8250,67.09064570999999,15.350845575999983
NO,6871,61.67784059500002,7.4497806800000035
NO,0770,59.94884181100002,10.660309348999988
NO,3157,59.330245305000005,10.395257577999985
NO,4827,58.538902052000026,8.549383879999993
NO,3194,59.417701721000014,10.477899551999997
NO,6506,63.11009979200003,7.7551999099999875
NO,7741,64.298698425,10.512800217000006
NO,2203,60.18450164799998,11.987199782999994
NO,7447,63.43050003100001,10.395099640000012
NO,4577,58.13489913900003,7.066100120999977
NO,5878,60.398399353,5.325699805999989
NO,5816,60.398399353,5.325699805999989
NO,2638,61.333599090999996,10.326700211000002
NO,4604,58.14670181299999,8.004799843
NO,6538,63.08575522699999,7.646878576000006
NO,3999,59.105201721000014,9.555999756000006
NO,2442,60.83380126899999,11.679100036000023
NO,9299,69.63420105,18.922500610999975
NO,4148,59.22389984099999,6.159999846999995
NO,3137,59.18030166599999,10.440500260000022
NO,7708,64.01490020799997,11.495400428999972
NO,8501,68.42710113599998,17.43490028399998
NO,2336,60.714298249000024,11.194100380000009
NO,1331,59.900501252000026,10.624500275000003
NO,5342,60.35707162,5.10965636100002
NO,5506,59.41199874900002,5.268599987000016
NO,6941,61.407958321000024,5.842403929999989
NO,1300,59.897899628000005,10.490599631999999
NO,7791,64.07530212400002,11.223999977000005
NO,6255,62.227699280000024,7.156300068000007
NO,2631,61.54119873000002,10.189800262000006
NO,4087,58.96080017100002,5.754600047999986
NO,2308,60.805900572999974,11.048199653999973
NO,4695,58.14670181299999,8.004799843
NO,3164,59.379501343000015,10.262700080999991
NO,3501,60.16270065399999,10.250200270999983
NO,1683,59.08800125099998,10.910900115999993
NO,6446,62.970600128,7.171100140000021
NO,5935,60.707199097,4.921199799000021
NO,4381,58.34980010999999,6.293300151999972
NO,6591,63.18659973199999,8.060000419999994
NO,6801,61.45449829099999,5.839499950000004
NO,7458,63.43050003100001,10.395099640000012
NO,1757,59.186401366999974,11.339300155999979
NO,4793,58.16109848000002,8.243000030000019
NO,4606,58.14670181299999,8.004799843
NO,5509,59.41199874900002,5.268599987000016
NO,9253,69.63420105,18.922500610999975
NO,3994,59.00669860800002,9.739700318000018
NO,4465,58.43970108000002,6.550199985000006
NO,1508,59.43769836400003,10.640000342999997
NO,3603,59.65090179499998,9.665499687000022
NO,7159,63.445882840000024,9.821804088000022
NO,6845,61.228751398999975,7.142104190999987
NO,6499,62.91189956699998,7.4376997950000145
NO,8091,67.27980041500001,14.473400115999993
NO,1478,59.937999725,10.95479965200002
NO,2051,60.13919830399999,11.166999816999976
NO,7493,63.43050003100001,10.395099640000012
NO,2163,60.240100859999984,11.52610015900001
NO,3207,59.12799835200002,10.21580028599999
NO,3197,59.42369842599999,10.388199806999978
NO,2461,61.34159851099997,11.773300171000017
NO,3360,59.91734370199998,9.980873471999985
NO,8416,68.75909737799998,15.145419195999978
NO,5108,60.511112106999974,5.306581288000018
NO,4344,58.724878063000006,5.642642321999972
NO,4055,58.89591191599999,5.625557689000004
NO,1514,59.47497662400002,10.647028163000016
NO,1784,59.14395141599999,11.391538873000002
NO,8230,67.087842352,16.02697412399999
NO,1449,59.67910339100001,10.68180262200002
NO,2055,60.192414669000016,11.247770697000021
NO,4005,58.969593255999996,5.7296074230000045
NO,7513,63.46180532400001,10.963099030000024
NO,2067,60.15829724299999,11.124690358999999
NO,1710,59.29801053900002,11.09667392
NO,7213,63.11710139600001,9.964201091000007
NO,6947,61.156503086999976,5.5730737090000275
NO,0568,59.92853592,10.771017364999977
NO,5218,60.16331009300001,5.334142142000019
NO,7099,63.37699174599999,10.35202934900002
NO,4083,59.003652217000024,5.732951254
NO,4322,58.81289567099998,5.691606622999984
NO,1472,59.938130451999996,10.991379258999984
NO,6413,62.73914120500001,7.1571633739999925
NO,0275,59.92616261500001,10.67469322300002
NO,5957,60.709596809000004,5.294669832000011
NO,4326,58.84294160100001,5.766021873
NO,6037,62.41943326500001,6.320525124000028
NO,1361,59.944080751,10.60680543799998
NO,0654,59.913513240999976,10.779991758999984
NO,3931,59.105320216999985,9.68708720799998
NO,0371,59.93894535099997,10.717753592000008
NO,3697,59.77981021699998,8.723148497000011
NO,1570,59.380075046,10.691351027999985
NO,2006,59.93942199100002,11.026075449000018
NO,0171,59.92627630800001,10.742214456999989
NO,6170,62.28281131900002,6.142231218999996
NO,2270,60.616760193999994,11.992094819999977
NO,9533,70.140915517,23.21438226700002
NO,4841,58.47273852400002,8.803237306000028
NO,5171,60.36453194500001,5.248007133999977
NO,3209,59.10932304099998,10.214177715000005
NO,5555,59.580398417000026,5.489492418999987
NO,5521,59.41594523499998,5.286970230999998
NO,3116,59.27197982400003,10.416539526999998
NO,6510,63.11684827900001,7.715277677000017
NO,6092,62.32612386400001,5.640984601000014
NO,8030,67.29819338800002,14.65831181499999
NO,4032,58.904703805,5.730836332000024
NO,2440,61.725473643999976,11.903136639000024
NO,2918,60.93241243599999,9.033335138999973
NO,4741,58.706255210999984,7.752458547999993
NO,6003,62.47301824300001,6.168497343000013
NO,1274,59.821309688999975,10.841952966000008
NO,4017,58.93737714600002,5.738620807000018
NO,4355,58.772464549999995,5.751603136000028
NO,9407,68.77671975700002,16.497359173999996
NO,0973,59.968591163999974,10.901483222000024
NO,7654,63.796265912000024,11.495015869999975
NO,1273,59.81998615499998,10.836034756000004
NO,2661,62.23757512399999,9.59021408000001
NO,9107,69.72715169600002,18.494089842999983
NO,3048,59.74342781299998,10.134921242000019
NO,1250,59.83362141700002,10.773838080000019
NO,9540,70.06676688099998,22.718579337999984
NO,4347,58.733614821,5.745568979999973
NO,8320,68.16334193,14.683283392000021
NO,1789,59.139111594999974,11.26066688100002
NO,8514,68.41769705799999,17.462004232000027
NO,0558,59.92219832799998,10.765158858000007
NO,3058,59.75953166599999,10.051904815
NO,5039,60.434415280999985,5.289331378999975
NO,3882,59.37115374299998,8.060657081999977
NO,0169,59.92606884000003,10.737915244000021
NO,7228,63.21791881600001,10.249748914000008
NO,3970,59.001981242,9.743540080999992
NO,0975,59.94563457100003,10.872797651999974
NO,8028,67.28996141900001,14.574928806999992
NO,2820,60.753600303999974,10.760276621999992
NO,4730,58.427036955000005,8.063320535999992
NO,0692,59.87629297900003,10.838936337999996
